SCHOOL_TITLE,CourseID,COFFERED_WITH,Sec,Crs,size,stuNo,ROOM_ID,RoomSize,BLOCKED,COURSE_NAME,FACULTY_FULL_NAME,STRAT_TIME,END_TIME,ST_MW,Dept,ClassSize,stuCr,Year,Semester,Level,SemesterNo,
SETS,CSE316L,"CSE316L,CSC430L,CEN430L",2,1,44,43,CSCLab2-S,30,0,Labwork based on CSE 316,4382-DR Tarem Ahmed,13:40,15:10,R,CSE,43,43,2019,Autumn,,3,
SETS,CSE316L,"CSE316L,CSC430L,CEN430L",3,1,41,40,CSCLab3-S,35,0,Labwork based on CSE 316,4416-MR Md. Fahad Monir,15:20,16:50,S,CSE,40,40,2019,Autumn,,3,
SETS,CSE317,"CSE317,CSC317,CEN317",1,3,40,39,CSCLab1-S,25,-1,Numerical Methods,4223-MR Mr. Md. Shariful Islam,17:00,18:30,MW,CSE,39,117,2019,Autumn,,3,
SETS,CSE317,"CSE317,CSC317,CEN317",2,3,38,31,CSCLab3-S,35,-1,Numerical Methods,4401-MR AKM Mahbubur Rahman,13:40,15:10,MW,CSE,31,93,2019,Autumn,,3,
SETS,CSE317L,"CSE317L,CSC317L,CEN317L",1,1,40,39,CSCLab1-S,25,0,Labwork based on CSE317,4223-MR Mr. Md. Shariful Islam,9:40,11:10,R,CSE,39,39,2019,Autumn,,3,
SETS,CSE317L,"CSE317L,CSC317L,CEN317L",2,1,38,31,CSCLab3-S,35,0,Labwork based on CSE317,4401-MR AKM Mahbubur Rahman,15:20,16:50,W,CSE,31,31,2019,Autumn,,3,
SETS,CSE402,"CSE402,CSC412,CEN412,CNC505",1,3,40,34,BC5012-S,50,-1,Wireless Networking & Mobile Communication,4242-MR Prof. Farruk Ahmed,18:30,21:30,M,CSE,34,102,2019,Autumn,,3,
SETS,CSE417,"CEN417,CSC417,CSC551,SEN551,CSE417",1,3,50,50,BC6007-S,50,-1,Data Mining and Warehouse,4389-MR Mohammad Shibli Kaysar,18:30,21:30,R,CSE,50,150,2019,Autumn,,3,
SETS,CSE420,CSE420,1,3,35,0,BC5012-S,50,B-0,Image Processing,T001-00 TBA TBA,18:30,21:30,W,CSE,,0,2019,Autumn,,3,
SETS,CSE421,"CSC616,CSE421,CSC421,CEN421",1,3,35,5,BC5012-S,50,-1,Machine learning,4336-DR Amin Ahsan Ali,18:30,21:30,S,CSE,5,15,2019,Autumn,,3,
